song_name,name,song_id,popularity
What Ifs (feat. Lauren Alaina),Lauren Alaina,7zVCrzzEJU7u24sbJPXA5W,75
Do I Make You Wanna,Billy Currington,3I7krC8kr0gFR7P6vInR1I,64
Happens Like That,Granger Smith,5Zx1zVpDJsNgyY3HvNfsfC,0
We Were That Song,Brett Kissel,6OUdBkpAQtKyZ74cKukZ9W,0
Down,Jay Sean,7LP4Es66zdY7CyjepqmvAg,0
Down,Lil Wayne,7LP4Es66zdY7CyjepqmvAg,0
Hey Ya!,Outkast,2PpruBYCo4H7WOBJ7Q2EwM,84
Never Forget You,Zara Larsson,6WLS56xiRrXjSm9RSdL3zD,0
Never Forget You,MNEK,6WLS56xiRrXjSm9RSdL3zD,0
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1MtUq6Wp1eQ8PC6BbPCj8P,66
I Took A Pill In Ibiza - Seeb Remix,Seeb,1MtUq6Wp1eQ8PC6BbPCj8P,66
Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE,81
Shower,Becky G,3DmW6y7wTEYHJZlLo1r6XJ,78
It Ain’t Me (with Selena Gomez),Kygo,12GEpg2XOPyqk03JZEZnJs,67
It Ain’t Me (with Selena Gomez),Selena Gomez,12GEpg2XOPyqk03JZEZnJs,67
Trumpets,Jason Derulo,5KONnBIQ9LqCxyeSPin26k,62
Coming Home,Diddy - Dirty Money,6Iocm6VMu6bVNYwiDoyQFW,67
Coming Home,Skylar Grey,6Iocm6VMu6bVNYwiDoyQFW,67
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,74
Rockabye (feat. Sean Paul & Anne-Marie),Sean Paul,5knuzwU65gJK7IF5yJsuaW,74
Rockabye (feat. Sean Paul & Anne-Marie),Anne-Marie,5knuzwU65gJK7IF5yJsuaW,74
Baby,Justin Bieber,6epn3r7S14KUqlReYr77hA,82
Baby,Ludacris,6epn3r7S14KUqlReYr77hA,82
Umbrella,Rihanna,49FYlytm3dAAraYgpoJZux,83
Umbrella,JAY-Z,49FYlytm3dAAraYgpoJZux,83
Replay,Iyaz,5vlEg2fT4cFWAqU5QptIpQ,74
Dynamite,Taio Cruz,1DqdF42leyFIzqNDv9CjId,72
I Gotta Feeling,Black Eyed Peas,4vp2J1l5RD4gMZwGFLfRAu,1
Some Nights,fun.,67WTwafOMgegV6ABnBQxcE,69
Escape (The Pina Colada Song),Rupert Holmes,5IMtdHjJ1OtkxbGe4zfUxQ,76
